SNR,AWGN_BLEU,AWGN_Loss,Rayleigh_BLEU,Rayleigh_Loss
0,18.42,0.1237,12.83,0.1432
3,20.35,0.1182,15.91,0.1374
6,22.81,0.1143,18.32,0.1328
9,24.62,0.1125,20.17,0.1287
12,25.43,0.1118,21.86,0.1252
15,25.97,0.1109,22.94,0.1231
18,26.38,0.1105,23.87,0.1218
