Epoch,Train_Loss,Valid_Loss,BLEU_Score
1,5.3271,3.5632,25.3841
2,4.2634,2.8957,36.7523
3,2.3518,1.9246,52.6382
4,1.5726,1.2583,72.9214
5,0.9854,0.7962,65.4573
6,0.5621,0.4837,68.2718
7,0.3274,0.2965,70.8965
8,0.1952,0.1873,71.1234
9,0.1247,0.1286,66.3567
10,0.0835,0.0926,69.2184
