SNR,AWGN_BLEU,AWGN_Loss,Rayleigh_BLEU,Rayleigh_Loss
0,16.54,0.1428,10.72,0.1637
3,18.27,0.1362,13.65,0.1558
6,20.43,0.1312,15.94,0.1497
9,22.08,0.1287,17.63,0.1452
12,22.86,0.1273,19.25,0.1408
15,23.87,0.1262,20.98,0.1384
18,24.38,0.1256,22.47,0.1372
